time,P_0,P_1,P_2,P_3,sound_speed
0.0,,,,,341.49
0.004,,,,,341.49
0.008,,,,,341.49
0.012,,,,,341.49
0.016,,,,,341.49
0.02,,,,,341.49
0.024,,,,,341.49
0.028,,,,,341.49
0.032,,,,,341.49
0.036,,,,,341.49
0.04,,,,,341.49
0.044,,,,,341.49
0.048,,,,,341.49
0.052,,,,,341.49
0.056,,,,,341.49
0.06,,,,,341.49
0.064,,,,,341.49
0.068,,,,,341.49
0.072,,,,,341.49
0.076,,,,,341.49
0.08,,,,,341.49
0.084,,,,,341.49
0.088,,,,,341.49
0.092,,,,,341.49
0.096,,,,,341.49
0.1,,,,,341.49
0.104,,,,,341.49
0.108,,,,,341.49
0.112,,,,,341.49
0.116,,,,,341.49
0.12,,,,,341.49
0.124,,,,,341.49
0.128,,,,,341.49
0.132,,,,,341.49
0.136,,,,,341.49
0.14,,,,,341.49
0.144,,,,,341.49
0.148,,,,,341.49
0.152,,,,,341.49
0.156,,,,,341.49
0.16,,,,,341.49
0.164,,,,,341.49
0.168,,,,,341.49
0.172,,,,,341.49
0.176,,,,,341.49
0.18,,,,,341.49
0.184,,,,,341.49
0.188,,,,,341.49
0.192,,,,,341.49
0.196,,,,,341.49
0.2,,,,,341.49
0.204,,,,,341.49
0.208,,,,,341.49
0.212,,,,,341.49
0.216,,,,,341.49
0.22,,,,,341.49
0.224,,,,,341.49
0.228,,,,,341.49
0.232,,,,,341.49
0.236,,,,,341.49
0.24,,,,,341.49
0.244,,,,,341.49
0.248,,,,,341.49
0.252,,,,,341.49
0.256,,,,,341.49
0.26,,,,,341.49
0.264,,,,,341.49
0.268,,,,,341.49
0.272,,,,,341.49
0.276,,,,,341.49
0.28,,,,,341.49
0.284,,,,,341.49
0.288,,,,,341.49
0.292,,,,,341.49
0.296,,,,,341.49
0.3,,,,,341.49
0.304,,,,,341.49
0.308,,,,,341.49
0.312,,,,,341.49
0.316,,,,,341.49
0.32,,,,,341.49
0.324,,,,,341.49
0.328,,,,,341.49
0.332,,,,,341.49
0.336,,,,,341.49
0.34,,,,,341.49
0.344,,,,,341.49
0.348,,,,,341.49
0.352,,,,,341.49
0.356,,,,,341.49
0.36,,,,,341.49
0.364,,,,,341.49
0.368,,,,,341.49
0.372,,,,,341.49
0.376,,,,,341.49
0.38,,,,,341.49
0.384,,,,,341.49
0.388,,,,,341.49
0.392,,,,,341.49
0.396,,,,,341.49
0.4,,,,,341.49
0.404,,,,,341.49
0.408,,,,,341.49
0.412,,,,,341.49
0.416,,,,,341.49
0.42,,,,,341.49
0.424,,,,,341.49
0.428,,,,,341.49
0.432,,,,,341.49
0.436,,,,,341.49
0.44,,,,,341.49
0.444,,,,,341.49
0.448,,,,,341.49
0.452,,,,,341.49
0.456,,,,,341.49
0.46,,,,,341.49
0.464,,,,,341.49
0.468,,,,,341.49
0.472,,,,,341.49
0.476,,,,,341.49
0.48,,,,,341.49
0.484,,,,,341.49
0.488,,,,,341.49
0.492,,,,,341.49
0.496,,,,,341.49
0.5,,,,,341.49
0.504,,,,,341.49
0.508,,,,,341.49
0.512,,,,,341.49
0.516,,,,,341.49
0.52,,,,,341.49
0.524,,,,,341.49
0.528,,,,,341.49
0.532,,,,,341.49
0.536,,,,,341.49333333333334
0.54,,,,,341.49333333333334
0.544,,,,,341.49333333333334
0.548,,,,,341.49333333333334
0.552,,,,,341.49333333333334
0.556,,,,,341.49333333333334
0.56,,,,,341.49333333333334
0.564,,,,,341.49333333333334
0.568,,,,,341.49333333333334
0.572,,,,,341.49333333333334
0.576,,,,,341.49333333333334
0.58,,,,,341.49333333333334
0.584,,,,,341.49333333333334
0.588,,,,,341.49333333333334
0.592,,,,,341.49333333333334
0.596,,,,,341.49333333333334
0.6,,,,,341.49333333333334
0.604,,,,,341.49333333333334
0.608,,,,,341.49333333333334
0.612,,,,,341.49333333333334
0.616,,,,,341.49333333333334
0.62,,,,,341.49333333333334
0.624,,,,,341.49333333333334
0.628,,,,,341.49333333333334
0.632,,,,,341.49333333333334
0.636,,,,,341.49333333333334
0.64,,,,,341.49333333333334
0.644,,,,,341.49333333333334
0.648,,,,,341.49333333333334
0.652,,,,,341.49333333333334
0.656,,,,,341.49333333333334
0.66,,,,,341.49333333333334
0.664,,,,,341.49333333333334
0.668,,,,,341.49333333333334
0.672,,,,,341.49333333333334
0.676,,,,,341.49333333333334
0.68,,,,,341.49333333333334
0.684,,,,,341.49333333333334
0.688,,,,,341.49333333333334
0.692,,,,,341.49333333333334
0.696,,,,,341.49333333333334
0.7,,,,,341.49333333333334
0.704,,,,,341.49333333333334
0.708,,,,,341.49333333333334
0.712,,,,,341.49333333333334
0.716,,,,,341.49333333333334
0.72,,,,,341.49333333333334
0.724,,,,,341.49333333333334
0.728,,,,,341.49333333333334
0.732,,,,,341.49333333333334
0.736,,,,,341.49333333333334
0.74,,,,,341.49333333333334
0.744,,,,,341.49333333333334
0.748,,,,,341.49333333333334
0.752,,,,,341.49333333333334
0.756,,,,,341.49333333333334
0.76,,,,,341.49333333333334
0.764,,,,,341.49333333333334
0.768,,,,,341.49333333333334
0.772,,,,,341.49333333333334
0.776,,,,,341.49333333333334
